"name","ID"
"brasil",""
"Região Norte","5"
"RORAIMA","5.26"
"BR-210/RR","5.26.21"
"BR-401/RR","5.26.22"
"BR-431/RR","5.26.23"
"BR-432/RR","5.26.24"
"BR-433/RR","5.26.25"
"AMAZONAS","5.6"
"BR-174/AM","5.6.12"
"BR-210/AM","5.6.13"
"BR-230/AM","5.6.14"
"BR-307/AM","5.6.15"
"BR-317/AM","5.6.16"
"BR-319/AM","5.6.17"
"BR-411/AM","5.6.18"
"BR-413/AM","5.6.19"
"TOCANTINS","5.29"
"BR-10/TO","5.29.41"
"BR-153/TO","5.29.42"
"BR-226/TO","5.29.43"
"BR-230/TO","5.29.44"
"BR-235/TO","5.29.45"
"BR-242/TO","5.29.46"
"AMAPÁ","5.8"
"BR-156/AP","5.8.39"
"BR-210/AP","5.8.40"
"PARÁ","5.17"
"BR-10/PA","5.17.26"
"BR-153/PA","5.17.27"
"BR-155/PA","5.17.28"
"BR-158/PA","5.17.29"
"BR-163/PA","5.17.30"
"BR-222/PA","5.17.32"
"BR-230/PA","5.17.33"
"BR-235/PA","5.17.34"
"BR-308/PA","5.17.35"
"BR-316/PA","5.17.36"
"BR-417/PA","5.17.37"
"BR-422/PA","5.17.38"
"RONDÔNIA","5.25"
"BR-174/RO","5.25.1"
"BR-319/RO","5.25.2"
"BR-364/RO","5.25.3"
"BR-421/RO","5.25.4"
"BR-425/RO","5.25.5"
"BR-429/RO","5.25.6"
"BR-435/RO","5.25.7"
"ACRE","5.3"
"BR-307/AC","5.3.8"
"BR-317/AC","5.3.9"
"BR-364/AC","5.3.10"
"BR-409/AC","5.3.11"
"Região Nordeste","4"
"PIAUÍ","4.22"
"BR-20/PI","4.22.58"
"BR-135/PI","4.22.59"
"BR-222/PI","4.22.60"
"BR-226/PI","4.22.61"
"BR-235/PI","4.22.63"
"BR-316/PI","4.22.64"
"BR-324/PI","4.22.65"
"BR-330/PI","4.22.66"
"BR-343/PI","4.22.67"
"BR-402/PI","4.22.68"
"BR-404/PI","4.22.69"
"BR-407/PI","4.22.70"
"SERGIPE","4.28"
"BR-101/SE","4.28.127"
"BR-235/SE","4.28.128"
