"ID","age","value"
"5.26.21","Dados Funcionais Rodovia","1"
"5.26.21","FWD","1"
"5.26.21","Cadastro de Interseções","1"
"5.26.22","Dados Funcionais Rodovia","1"
"5.26.22","FWD","1"
"5.26.22","Topografia","1"
"5.26.22","Sinalização e Dispositivos","1"
"5.26.23","Dados Funcionais Rodovia","1"
"5.26.23","Cadastro de OAE","1"
"5.26.23","Sondagem","1"
"5.26.23","Topografia","1"
"5.26.23","Sinalização e Dispositivos","1"
"5.26.24","FWD","1"
"5.26.25","FWD","1"
"5.26.25","Sinalização e Dispositivos","1"
"5.6.12","Dados Funcionais Rodovia","1"
"5.6.12","FWD","1"
"5.6.12","Sinalização e Dispositivos","1"
"5.6.13","FWD","1"
"5.6.13","Tráfego","1"
"5.6.13","Cadastro de Interseções","1"
"5.6.13","Topografia","1"
"5.6.14","Dados Funcionais Rodovia","1"
"5.6.14","FWD","1"
"5.6.14","Cadastro de Interseções","1"
"5.6.14","Cadastro de OAE","1"
"5.6.14","Sondagem","1"
"5.6.14","Topografia","1"
"5.6.15","Dados Funcionais Rodovia","1"
"5.6.15","Cadastro de Interseções","1"
"5.6.15","Cadastro de OAE","1"
"5.6.15","Topografia","1"
"5.6.16","Dados Funcionais Rodovia","1"
"5.6.16","FWD","1"
"5.6.17","FWD","1"
"5.6.17","Sinalização e Dispositivos","1"
"5.6.18","Tráfego","1"
"5.6.18","Cadastro de OAE","1"
"5.6.19","FWD","1"
"5.6.19","Tráfego","1"
"5.6.19","Cadastro de Interseções","1"
"5.6.19","Topografia","1"
"5.29.41","Tráfego","1"
"5.29.41","Cadastro de OAE","1"
"5.29.41","Sondagem","1"
"5.29.41","Topografia","1"
"5.29.42","FWD","1"
"5.29.42","Cadastro de Interseções","1"
"5.29.42","Topografia","1"
"5.29.42","Sinalização e Dispositivos","1"
"5.29.43","Tráfego","1"
"5.29.43","Cadastro de OAE","1"
"5.29.44","FWD","1"
"5.29.44","Cadastro de OAE","1"
"5.29.44","Topografia","1"
"5.29.45","Topografia","1"
"5.29.46","Dados Funcionais Rodovia","1"
"5.8.39","Tráfego","1"
"5.8.39","Sinalização e Dispositivos","1"
"5.8.40","Cadastro de Interseções","1"
"5.8.40","Topografia","1"
"5.17.26","Dados Funcionais Rodovia","1"
"5.17.26","Tráfego","1"
"5.17.26","Sinalização e Dispositivos","1"
"5.17.27","FWD","1"
"5.17.28","FWD","1"
"5.17.28","Tráfego","1"
"5.17.28","Sondagem","1"
"5.17.29","FWD","1"
"5.17.29","Cadastro de OAE","1"
"5.17.30","Dados Funcionais Rodovia","1"
"5.17.30","Tráfego","1"
"5.17.30","Topografia","1"
"5.17.32","Cadastro de Interseções","1"
"5.17.32","Cadastro de OAE","1"
"5.17.32","Topografia","1"
"5.17.32","Sinalização e Dispositivos","1"
"5.17.33","Dados Funcionais Rodovia","1"
"5.17.33","Cadastro de Interseções","1"
"5.17.33","Cadastro de OAE","1"
"5.17.34","Dados Funcionais Rodovia","1"
"5.17.34","FWD","1"
"5.17.34","Cadastro de OAE","1"
"5.17.35","Topografia","1"
"5.17.36","Dados Funcionais Rodovia","1"
"5.17.36","Cadastro de OAE","1"
"5.17.36","Topografia","1"
"5.17.37","Sinalização e Dispositivos","1"
"5.17.38","Dados Funcionais Rodovia","1"
"5.17.38","Sinalização e Dispositivos","1"
"5.25.1","Dados Funcionais Rodovia","1"
"5.25.1","Cadastro de Interseções","1"
"5.25.1","Topografia","1"
"5.25.2","Dados Funcionais Rodovia","1"
"5.25.2","FWD","1"
"5.25.2","Cadastro de OAE","1"
"5.25.2","Sondagem","1"
"5.25.2","Topografia","1"
"5.25.2","Sinalização e Dispositivos","1"
"5.25.3","Topografia","1"
"5.25.3","Sinalização e Dispositivos","1"
"5.25.4","FWD","1"
"5.25.4","Cadastro de Interseções","1"
"5.25.4","Sondagem","1"
"5.25.5","FWD","1"
"5.25.5","Tráfego","1"
"5.25.5","Cadastro de OAE","1"
"5.25.5","Topografia","1"
"5.25.6","Cadastro de Interseções","1"
"5.25.6","Sondagem","1"
"5.25.7","Dados Funcionais Rodovia","1"
"5.25.7","Cadastro de Interseções","1"
"5.3.8","Cadastro de Interseções","1"
"5.3.8","Topografia","1"
"5.3.9","Dados Funcionais Rodovia","1"
"5.3.9","FWD","1"
"5.3.9","Cadastro de Interseções","1"
"5.3.9","Topografia","1"
"5.3.9","Sinalização e Dispositivos","1"
"5.3.10","Dados Funcionais Rodovia","1"
"5.3.10","FWD","1"
"5.3.10","Cadastro de OAE","1"
